video_id,title,published_at,description,channel_title,category_id,duration,view_count,like_count,comment_count,year,month,month_name,duration_minutes,engagement_rate,weekday,weekday_num,publish_hour,publish_year_month,like_rate,comment_rate
X2CkOCmSzk8,NAJWIĘKSZY BYK SPRZEDAJE BTC JEST SIĘ CZEGO BAĆ?,2026-06-05 14:24:27+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:28 - Etfy w panice 
4:26 - Saylor sprzedaje btc
7:41 - Krytyczny sentyment 
10:28 - Kasa ucieka z btc 
14:42 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT16M49S,10972,596,110,2026,6,June,16.816666666666666,0.06434560699963543,Friday,4,14,2026-06,0.05432008749544295,0.01002551950419249
mhH-huTcxQs,ANTHROPIC WSPÓŁPRACUJE ZE SPACEX,2026-06-03 12:26:29+00:00,,Crypto Stasiak,27,PT1M22S,2889,77,4,2026,6,June,1.3666666666666667,0.028037383177570093,Wednesday,2,12,2026-06,0.02665282104534441,0.0013845621322256837
1-wmelqs_m4,PILNE: BITCOIN TRACI NAJWAŻNIEJSZE WSPARCIE,2026-06-01 14:06:15+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:48 - Dane On-Chain 
5:23 - Najważniejsze wykresy 
14:08 - Najciekawsze newsy 
17:12 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT18M45S,11103,499,52,2026,6,June,18.75,0.049626227145816444,Monday,0,14,2026-06,0.04494280825002252,0.0046834188957939294
XvxooAr4fFg,OKAZJA NA GENIALNEGO SHORTA,2026-06-01 11:12:19+00:00,,Crypto Stasiak,27,PT49S,2602,86,5,2026,6,June,0.8166666666666667,0.03497309761721752,Monday,0,11,2026-06,0.033051498847040735,0.001921598770176787
CLCMO1-pR4A,ECHOSTAR KLUCZOWY DLA STARLINKÓW,2026-05-30 13:24:32+00:00,,Crypto Stasiak,27,PT1M26S,3381,100,7,2026,5,May,1.4333333333333333,0.03164744158532978,Saturday,5,13,2026-05,0.029577048210588583,0.002070393374741201
XdICz9bGbOo,SPACEX ELONA MUSKA PODBIJE RYNEK?,2026-05-28 18:25:54+00:00,,Crypto Stasiak,27,PT2M59S,6314,214,11,2026,5,May,2.9833333333333334,0.035635096610706365,Thursday,3,18,2026-05,0.03389293633196072,0.0017421602787456446
DH0QgD2hZ-I,TOP JUŻ BYŁ? TO MIEJSCE MOŻE ZMIENIĆ WSZYSTKO...,2026-05-26 14:03:14+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:50 - Dane on-chain 
4:08 - Update Bitcoina 
7:18 - Najważniejsze newsy 
10:29 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT10M56S,7256,466,14,2026,5,May,10.933333333333334,0.06615214994487321,Tuesday,1,14,2026-05,0.06422271223814774,0.0019294377067254685
63LQurrpKE4,80.000$ TEN POZIOM ZADECYDUJE O WSZYSTKIM,2026-05-20 13:16:20+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:35 - Czy to koniec bessy?
4:56 - Kluczowy opór 
10:21 - Ani top ani bottom
11:43 - Reszta danych 
14:30 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT18M8S,11134,551,54,2026,5,May,18.133333333333333,0.05433806358900665,Wednesday,2,13,2026-05,0.04948805460750853,0.004850008981498114
V-ySP--yNSQ,JAK J*BNIE TO INO RAZ,2026-05-18 13:06:44+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:23 - Dane On-Chain 
4:51 - Najważniejsze wykresy 
11:39 - Najciekawsze newsy 
14:30 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT14M54S,10189,576,30,2026,5,May,14.9,0.059475905388163705,Monday,0,13,2026-05,0.05653155363627441,0.0029443517518892926
VkFdNjcfklU,ULICA MĄDRZEJSZA OD GRUBASÓW?,2026-05-14 09:34:36+00:00,,Crypto Stasiak,27,PT26S,9253,112,2,2026,5,May,0.43333333333333335,0.012320328542094456,Thursday,3,9,2026-05,0.01210418242732087,0.00021614611477358694
