video_id,title,published_at,description,channel_title,category_id,duration,view_count,like_count,comment_count,year_x,month_x,month_name_x,duration_minutes,engagement_rate,weekday_x,weekday_num,publish_hour,publish_year_month,like_rate,comment_rate,upload_date,Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,daily_return,volatility_7d,ma_7,ma_30,ma_90,bull_market,year_y,month_y,month_name_y,weekday_y,market_regime,btc_date,volatility_bucket
X2CkOCmSzk8,NAJWIĘKSZY BYK SPRZEDAJE BTC JEST SIĘ CZEGO BAĆ?,2026-06-05 14:24:27+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:28 - Etfy w panice 
4:26 - Saylor sprzedaje btc
7:41 - Krytyczny sentyment 
10:28 - Kasa ucieka z btc 
14:42 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT16M49S,10972,596,110,2026,6,June,16.816666666666666,0.0643456069996354,Friday,4,14,2026-06,0.0543200874954429,0.0100255195041924,2026-06-05,,,,,,,,,,,,,,,,,,,,,,,
mhH-huTcxQs,ANTHROPIC WSPÓŁPRACUJE ZE SPACEX,2026-06-03 12:26:29+00:00,,Crypto Stasiak,27,PT1M22S,2889,77,4,2026,6,June,1.3666666666666667,0.02803738317757,Wednesday,2,12,2026-06,0.0266528210453444,0.0013845621322256,2026-06-03,,,,,,,,,,,,,,,,,,,,,,,
1-wmelqs_m4,PILNE: BITCOIN TRACI NAJWAŻNIEJSZE WSPARCIE,2026-06-01 14:06:15+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:48 - Dane On-Chain 
5:23 - Najważniejsze wykresy 
14:08 - Najciekawsze newsy 
17:12 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT18M45S,11103,499,52,2026,6,June,18.75,0.0496262271458164,Monday,0,14,2026-06,0.0449428082500225,0.0046834188957939,2026-06-01,1780272000000.0,2026-06-01,BTCUSDT,73674.39,74092.0,70686.68,71408.9,23921.09184,1723958338.6828775,4237773.0,-0.0307500340348932,0.0174478284747353,74972.20428571428,78169.634,72846.26166666666,False,2026.0,6.0,June,Monday,Bear,2026-06-01,Medium
XvxooAr4fFg,OKAZJA NA GENIALNEGO SHORTA,2026-06-01 11:12:19+00:00,,Crypto Stasiak,27,PT49S,2602,86,5,2026,6,June,0.8166666666666667,0.0349730976172175,Monday,0,11,2026-06,0.0330514988470407,0.0019215987701767,2026-06-01,1780272000000.0,2026-06-01,BTCUSDT,73674.39,74092.0,70686.68,71408.9,23921.09184,1723958338.6828775,4237773.0,-0.0307500340348932,0.0174478284747353,74972.20428571428,78169.634,72846.26166666666,False,2026.0,6.0,June,Monday,Bear,2026-06-01,Medium
CLCMO1-pR4A,ECHOSTAR KLUCZOWY DLA STARLINKÓW,2026-05-30 13:24:32+00:00,,Crypto Stasiak,27,PT1M26S,3381,100,7,2026,5,May,1.4333333333333331,0.0316474415853297,Saturday,5,13,2026-05,0.0295770482105885,0.0020703933747412,2026-05-30,1780099200000.0,2026-05-30,BTCUSDT,73460.78,74143.76,73216.0,73884.38,7515.40909,553989386.1115208,1124406.0,-0.007587982694263,0.0150774629726038,76475.40857142858,78523.34466666667,72749.73566666666,True,2026.0,5.0,May,Saturday,Bull,2026-05-30,Medium
XdICz9bGbOo,SPACEX ELONA MUSKA PODBIJE RYNEK?,2026-05-28 18:25:54+00:00,,Crypto Stasiak,27,PT2M59S,6314,214,11,2026,5,May,2.9833333333333334,0.0356350966107063,Thursday,3,18,2026-05,0.0338929363319607,0.0017421602787456,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,
DH0QgD2hZ-I,TOP JUŻ BYŁ? TO MIEJSCE MOŻE ZMIENIĆ WSZYSTKO...,2026-05-26 14:03:14+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:50 - Dane on-chain 
4:08 - Update Bitcoina 
7:18 - Najważniejsze newsy 
10:29 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT10M56S,7256,466,14,2026,5,May,10.933333333333334,0.0661521499448732,Tuesday,1,14,2026-05,0.0642227122381477,0.0019294377067254,2026-05-26,,,,,,,,,,,,,,,,,,,,,,,
63LQurrpKE4,80.000$ TEN POZIOM ZADECYDUJE O WSZYSTKIM,2026-05-20 13:16:20+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:35 - Czy to koniec bessy?
4:56 - Kluczowy opór 
10:21 - Ani top ani bottom
11:43 - Reszta danych 
14:30 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT18M8S,11134,551,54,2026,5,May,18.133333333333333,0.0543380635890066,Wednesday,2,13,2026-05,0.0494880546075085,0.0048500089814981,2026-05-20,1779235200000.0,2026-05-20,BTCUSDT,76834.36,77853.04,76516.74,77552.23,11296.26307,873091271.471635,2437754.0,0.0093430855674465,0.0151764872445107,78171.05428571429,78729.368,72642.20066666666,True,2026.0,5.0,May,Wednesday,Bull,2026-05-20,Medium
V-ySP--yNSQ,JAK J*BNIE TO INO RAZ,2026-05-18 13:06:44+00:00,"👉🏻 Zarejestruj się na giełdzie Bybit z linku: https://link.cryptostasiaktrading.pl/bybiteu

🟢 Dzięki temu zyskasz dostęp do:
- Wszystkich moich zagrań
- Zagrań moich traderów
- 10H live tygodniowo 
- Portfela inwestycyjnego
- Sekcji akademii 
- Darmowych narzędzi tradingowych oraz indykatorów

🎁 Dodatkowo każda osoba, która zarejestruje się z mojego linku otrzyma od ByBita 5 USDC na start.

👉🏻 Dołącz do mojego Discorda - https://link.cryptostasiaktrading.pl/discord i przejdź do kanału ""Przewodnik"".

🔴🔴JEŚLI NA BYBIT.COM MIAŁEŚ KONTO POD INNYM TWÓRCĄ, TO REJESTRUJĄC SIĘ NA BYBT.EU Z MOJEGO LINKU MUSISZ UŻYĆ INNEGO MAILA NIŻ TEN KTÓRY MASZ NA KONCIE BYBIT.COM🔴🔴

👉Chcesz zadać mi pytanie, na które odpowiem Ci w części Q&A? Już teraz masz taką możliwość pod tym linkiem! -  https://tellonym.me/cryptostasiakcst

0:00 - Intro 
0:23 - Dane On-Chain 
4:51 - Najważniejsze wykresy 
11:39 - Najciekawsze newsy 
14:30 - Podsumowanie
____________________________________________________________

Twitter🔔: https://link.cryptostasiaktrading.pl/xtwitter
Instagram🔔: https://link.cryptostasiaktrading.pl/instagram
Discord🔔: https://link.cryptostasiaktrading.pl/discord
Kontakt📧: jakub.stasiak.krypto@gmail.com

____________________________________________________________

Pamiętaj! Inwestowanie lub powierzanie środków w ramach ofert nabycia 
kryptowalut związane jest z ryzykiem utraty części lub całości zainwestowanych środków. 

#inwestuj_świadomie  #filmsponsorowany #wiem_w_co_inwestuje #autopromocja #współpraca

Żaden z materiałów zamieszczonych na kanale oraz moich profilach w mediach społecznościowych, nie stanowi doradztwa inwestycyjnego.
Jest to moje prywatne zdanie na tematy poruszane w filmach (oraz social media) - nie kieruj się nim, przy inwestowaniu pieniędzy.

Film który oglądasz jest materiałem sponsorowanym lub zawiera autopromocję, z uwagi na współprace afiliacyjne z giełdą Bybit, lub reklamowaniem własnych produktów takich jak książka, dostęp do grupy szkoleniowej lub raportów rynkowych.

____________________________________________________________",Crypto Stasiak,27,PT14M54S,10189,576,30,2026,5,May,14.9,0.0594759053881637,Monday,0,13,2026-05,0.0565315536362744,0.0029443517518892,2026-05-18,1779062400000.0,2026-05-18,BTCUSDT,77457.67,77800.0,76051.0,77001.87,18745.51678,1439862031.891971,3529328.0,-0.0058845044009199,0.014784935816909,78946.98142857142,78571.24033333334,72428.19555555556,True,2026.0,5.0,May,Monday,Bull,2026-05-18,Medium
VkFdNjcfklU,ULICA MĄDRZEJSZA OD GRUBASÓW?,2026-05-14 09:34:36+00:00,,Crypto Stasiak,27,PT26S,9253,112,2,2026,5,May,0.4333333333333333,0.0123203285420944,Thursday,3,9,2026-05,0.0121041824273208,0.0002161461147735,2026-05-14,1778716800000.0,2026-05-14,BTCUSDT,79313.61,82048.13,78922.0,81089.99,19727.86807,1590656475.0187972,3101046.0,0.0223969127114502,0.0150377790767615,80819.33714285714,78258.415,72035.65544444445,True,2026.0,5.0,May,Thursday,Bull,2026-05-14,Medium
